COD_BAIRRO,N_BAIRRO,PERIMETER,AREA,HECTARES,X,Y,DENSIDADE
"24",ERNESTO GEISEL,6650.89599331000,1905707.36146999989,190.57073614700,293606.28619900002,9206172.86873999983,
"11",BESSA,6362.90986910000,2040910.03630000004,204.09100363000,296419.19079099997,9218467.45941000059,"0,000000000"
"02",AEROCLUBE,6436.70457092000,2058471.85751000000,205.84718575100,296478.97189400002,9216243.94048999995,"0,000000000"
"35",JARDIM OCEANIA,7344.36853536000,2280272.34577000001,228.02723457700,297303.59516500001,9216760.57602999918,"0,000000000"
"38",MANAÍRA,6610.02805500000,2299794.25747000007,229.97942574700,297355.59591600002,9214281.54429999925,"0,000000000"
"52",TAMBAÚ,3806.01978856000,846367.49118500005,84.63674911850,298274.66990500002,9213149.59651999921,"0,000000000"
"13",CABO BRANCO,12060.63382900000,1373200.98577999999,137.32009857800,298934.10277000000,9211293.27119000070,"0,000000000"
"48",PONTA DO SEIXAS,4991.62784838000,587013.28089499997,58.70132808950,301646.88863200002,9208515.98110999912,
"45",PENHA,3356.75473004000,388471.37157800002,38.84713715780,301467.21932899999,9207690.70144999959,
XX,COSTA DO SOL,15506.71001080000,13210674.25610000081,1321.06742561000,300193.45907600003,9205543.26200000010,
"44",PARATIBE,9053.12363437000,4348232.66660000011,434.82326666000,297941.04612700001,9203291.36659999937,
"59",VALENTINA,7829.53969365000,3139557.80702000018,313.95578070200,296052.21288900002,9203960.53614999913,
"47",PLANALTO DA BOA ESPERANÇA,7016.65603230000,2033394.67011000006,203.33946701100,294658.91349599999,9204194.23571999930,
"21",CUIÁ,6672.31305357000,1911632.69787000003,191.16326978700,294489.79654600000,9205512.17868000083,
"30",JOÃO PAULO II,8113.67895663000,2227060.28377000010,222.70602837700,292565.92309400003,9206152.47605000064,
"26",FUNCIONÁRIOS,6028.89354322000,1733500.03563000006,173.35000356300,291692.91221400001,9205713.53336999938,
"27",GROTÃO,2695.59950771000,336326.70213200001,33.63267021320,292059.08523299999,9205105.65255999938,
